Order_ID;Order_Date;Ship_Date;Ship_Mode;Customer_ID;Customer_Name;Segment;Country;City;State;Postal_Code;Region;Product_ID;Sales;Quantity;Discount;Profit;Person
CA-2016-100363;08/04/2016;15/04/2016;Standard Class;JM-15655;Jim Mitchum;Corporate;USA;Glend&ale;Arizona;85301;West;OFF-FA-10000611;2,368;2;0,2;0,8288;Anna Andreadi
CA-2016-100363;08/04/2016;15/04/2016;Standard Class;JM-15655;Jim Mitchum;Corporate;USA;Glend&ale;Arizona;85301;West;OFF-PA-10004733;19,008;3;0,2;6,8904;Anna Andreadi
CA-2016-101175;09/12/2016;14/12/2016;Standard Class;DM-12955;Dario Medina;Corporate;USA;Mes&a;Arizona;85204;West;OFF-ST-10004950;100,704;6;0,2;-1,2588;Anna Andreadi
CA-2016-106376;05/12/2016;10/12/2016;Standard Class;BS-11590;Brendan Sweed;Corporate;USA;Gil?bert;Arizona;85234;West;OFF-AR-10002671;1113,024;8;0,2;111,3024;Anna Andreadi
CA-2016-106376;05/12/2016;10/12/2016;Standard Class;BS-11590;Brendan Sweed;Corporate;USA;Gil?bert;Arizona;85234;West;TEC-PH-10002726;167,968;4;0,2;62,988;Anna Andreadi
CA-2016-108189;02/10/2016;05/10/2016;First Class;ES-14080;Erin Smith;Corporate;USA;Tempe;Arizona;85281;West;OFF-PA-10001838;9,408;2;0,2;3,4104;Anna Andreadi
CA-2016-108189;02/10/2016;05/10/2016;First Class;ES-14080;Erin Smith;Corporate;USA;Tempe;Arizona;85281;West;OFF-FA-10000735;4,672;2;0,2;1,46;Anna Andreadi
CA-2016-108189;02/10/2016;05/10/2016;First Class;ES-14080;Erin Smith;Corporate;USA;Tempe;Arizona;85281;West;TEC-PH-10001760;318,4;2;0,2;107,46;Anna Andreadi
CA-2016-108189;02/10/2016;05/10/2016;First Class;ES-14080;Erin Smith;Corporate;USA;Tempe;Arizona;85281;West;OFF-EN-10004846;12,768;6;0,2;4,6284;Anna Andreadi
CA-2016-108189;02/10/2016;05/10/2016;First Class;ES-14080;Erin Smith;Corporate;USA;Tempe;Arizona;85281;West;OFF-SU-10003567;15,36;2;0,2;-3,264;Anna Andreadi
CA-2016-108189;02/10/2016;05/10/2016;First Class;ES-14080;Erin Smith;Corporate;USA;Tempe;Arizona;85281;West;TEC-PH-10001557;230,376;3;0,2;20,1579;Anna Andreadi
CA-2016-108189;02/10/2016;05/10/2016;First Class;ES-14080;Erin Smith;Corporate;USA;Tempe;Arizona;85281;West;TEC-AC-10003038;7,16;1;0,2;-0,0895;Anna Andreadi
CA-2016-123295;18/07/2016;18/07/2016;Same Day;AH-10120;Adrian Hane;Home Office;USA;Tucson;Arizona;85705;West;FUR-CH-10002372;259,136;4;0,2;-25,9136;Anna Andreadi
CA-2016-124079;13/12/2016;17/12/2016;Standard Class;RF-19345;Randy Ferguson;Corporate;USA;Phoenix;Arizona;85023;West;FUR-FU-10002553;87,96;3;0,2;7,6965;Anna Andreadi
CA-2016-124079;13/12/2016;17/12/2016;Standard Class;RF-19345;Randy Ferguson;Corporate;USA;Phoenix;Arizona;85023;West;OFF-BI-10002103;5,214;2;0,7;-4,1712;Anna Andreadi
CA-2016-128986;03/08/2016;05/08/2016;Second Class;GH-14410;Gary Hansen;Home Office;USA;Glend&ale;Arizona;85301;West;OFF-PA-10001289;93,024;3;0,2;33,7212;Anna Andreadi
CA-2016-133389;22/06/2016;22/06/2016;Same Day;TB-21280;Toby Braunhardt;Consumer;USA;Phoenix;Arizona;85023;West;OFF-BI-10001553;8,226;3;0,7;-6,0324;Anna Andreadi
CA-2016-138177;19/09/2016;24/09/2016;Standard Class;ND-18460;Neil Ducich;Corporate;USA;Ch&andler;Arizona;85224;West;FUR-TA-10004607;73,915;1;0,5;-45,8273;Anna Andreadi
CA-2016-138681;20/12/2016;22/12/2016;First Class;CT-11995;Carol Triggs;Consumer;USA;Tucson;Arizona;85705;West;FUR-FU-10001876;51,968;2;0,2;10,3936;Anna Andreadi
CA-2016-138681;20/12/2016;22/12/2016;First Class;CT-11995;Carol Triggs;Consumer;USA;Tucson;Arizona;85705;West;TEC-AC-10003628;71,976;3;0,2;21,5928;Anna Andreadi
CA-2016-138681;20/12/2016;22/12/2016;First Class;CT-11995;Carol Triggs;Consumer;USA;Tucson;Arizona;85705;West;FUR-CH-10004860;242,352;3;0,2;-42,4116;Anna Andreadi
CA-2016-138681;20/12/2016;22/12/2016;First Class;CT-11995;Carol Triggs;Consumer;USA;Tucson;Arizona;85705;West;OFF-PA-10000357;221,92;5;0,2;77,672;Anna Andreadi
CA-2016-138681;20/12/2016;22/12/2016;First Class;CT-11995;Carol Triggs;Consumer;USA;Tucson;Arizona;85705;West;OFF-PA-10003270;8,448;2;0,2;2,64;Anna Andreadi
CA-2016-140039;13/09/2016;17/09/2016;Standard Class;ON-18715;Odella Nelson;Corporate;USA;Tempe;Arizona;85281;West;OFF-ST-10001034;79,4;5;0,2;5,955;Anna Andreadi
CA-2016-146591;19/01/2016;20/01/2016;First Class;TS-21340;Toby Swindell;Consumer;USA;Scottsd&ale;Arizona;85254;West;OFF-BI-10003676;32,34;10;0,7;-23,716;Anna Andreadi
CA-2016-146591;19/01/2016;20/01/2016;First Class;TS-21340;Toby Swindell;Consumer;USA;Scottsd&ale;Arizona;85254;West;OFF-PA-10000659;56,064;4;0,2;19,6224;Anna Andreadi
CA-2016-146591;19/01/2016;20/01/2016;First Class;TS-21340;Toby Swindell;Consumer;USA;Scottsd&ale;Arizona;85254;West;OFF-EN-10002504;108,72;5;0,2;36,693;Anna Andreadi
CA-2016-146591;19/01/2016;20/01/2016;First Class;TS-21340;Toby Swindell;Consumer;USA;Scottsd&ale;Arizona;85254;West;FUR-BO-10001972;181,47;5;0,7;-320,597;Anna Andreadi
CA-2016-146843;30/11/2016;06/12/2016;Standard Class;PB-19150;Philip Brown;Consumer;USA;&avond&ale;Arizona;85323;West;OFF-SU-10001664;47,992;7;0,2;3,5994;Anna Andreadi
CA-2016-146843;30/11/2016;06/12/2016;Standard Class;PB-19150;Philip Brown;Consumer;USA;&avond&ale;Arizona;85323;West;TEC-AC-10002550;102,24;4;0,2;-16,614;Anna Andreadi
CA-2016-148040;22/03/2016;26/03/2016;Standard Class;BF-11275;Beth Fritzler;Corporate;USA;Tucson;Arizona;85705;West;OFF-PA-10002581;74,352;3;0,2;23,235;Anna Andreadi
CA-2016-148040;22/03/2016;26/03/2016;Standard Class;BF-11275;Beth Fritzler;Corporate;USA;Tucson;Arizona;85705;West;FUR-CH-10001482;314,352;3;0,2;-35,3646;Anna Andreadi
CA-2016-148383;27/12/2016;31/12/2016;Standard Class;RP-19390;Resi Pölking;Consumer;USA;Phoenix;Arizona;85023;West;OFF-BI-10003650;946,764;6;0,7;-694,2936;Anna Andreadi
CA-2016-150329;10/10/2016;14/10/2016;Standard Class;SD-20485;Shirley Daniels;Home Office;USA;Phoenix;Arizona;85023;West;FUR-FU-10003724;46,872;7;0,2;3,5154;Anna Andreadi
CA-2016-151708;08/08/2016;14/08/2016;Standard Class;MB-17305;Maria Bertelson;Consumer;USA;Glend&ale;Arizona;85301;West;FUR-FU-10001602;121,376;4;0,2;-3,0344;Anna Andreadi
CA-2016-151708;08/08/2016;14/08/2016;Standard Class;MB-17305;Maria Bertelson;Consumer;USA;Glend&ale;Arizona;85301;West;TEC-AC-10001767;95,976;3;0,2;-10,7973;Anna Andreadi
CA-2016-159625;23/11/2016;28/11/2016;Standard Class;SM-20005;Sally Matthias;Consumer;USA;Scottsd&ale;Arizona;85254;West;OFF-EN-10002621;23,472;3;0,2;8,802;Anna Andreadi
CA-2016-159814;24/06/2016;28/06/2016;Standard Class;LP-17080;Liz Pelletier;Consumer;USA;Tucson;Arizona;85705;West;FUR-FU-10001731;4,272;2;0,2;0,9612;Anna Andreadi
CA-2016-161249;09/08/2016;13/08/2016;Standard Class;RD-19720;Roger Demir;Consumer;USA;Phoenix;Arizona;85023;West;OFF-FA-10004838;4,464;3;0,2;-0,9486;Anna Andreadi
CA-2016-161249;09/08/2016;13/08/2016;Standard Class;RD-19720;Roger Demir;Consumer;USA;Phoenix;Arizona;85023;West;OFF-BI-10001097;9,345;5;0,7;-6,5415;Anna Andreadi
CA-2017-100216;13/04/2017;14/04/2017;First Class;HJ-14875;Heather Jas;Home Office;USA;Mes&a;Arizona;85204;West;OFF-PA-10000788;31,104;6;0,2;10,8864;Anna Andreadi
